Species,Species_Code,SampleID,Date,Crown_Dieback_percent,Survival_percent
Acer rubrum,Acru,Acru1,28/11/2019,0,100
Acer rubrum,Acru,Acru1,12/12/2019,0,100
Acer rubrum,Acru,Acru1,29/12/2019,0,100
Acer rubrum,Acru,Acru1,13/01/2020,70,30
Acer rubrum,Acru,Acru1,28/01/2020,80,20
Acer rubrum,Acru,Acru1,10/02/2020,60,40
Acer rubrum,Acru,Acru1,25/02/2020,60,40
Acer rubrum,Acru,Acru1,25/03/2020,50,50
Acer rubrum,Acru,Acru1,27/04/2020,50,50
Syzygium floribundum,Syfl,Syfl2,28/11/2019,0,100
Syzygium floribundum,Syfl,Syfl2,12/12/2019,15,85
Syzygium floribundum,Syfl,Syfl2,29/12/2019,20,80
Syzygium floribundum,Syfl,Syfl2,13/01/2020,30,70
Syzygium floribundum,Syfl,Syfl2,28/01/2020,30,70
Syzygium floribundum,Syfl,Syfl2,10/02/2020,50,50
Syzygium floribundum,Syfl,Syfl2,25/02/2020,30,70
Syzygium floribundum,Syfl,Syfl2,25/03/2020,5,95
Syzygium floribundum,Syfl,Syfl2,27/04/2020,0,100
Liriodendron tulipifera,Litu,Litu1,9/12/2019,25,75
Liriodendron tulipifera,Litu,Litu1,12/12/2019,60,40
Liriodendron tulipifera,Litu,Litu1,29/12/2019,75,25
Liriodendron tulipifera,Litu,Litu1,13/01/2020,100,0
Liriodendron tulipifera,Litu,Litu1,28/01/2020,90,10
Liriodendron tulipifera,Litu,Litu1,10/02/2020,95,5
Liriodendron tulipifera,Litu,Litu1,25/02/2020,95,5
Liriodendron tulipifera,Litu,Litu1,25/03/2020,95,5
Liriodendron tulipifera,Litu,Litu1,27/04/2020,95,5
Banksia integrifolia,Bain,Bain3,6/12/2019,50,50
Banksia integrifolia,Bain,Bain3,12/12/2019,50,50
Banksia integrifolia,Bain,Bain3,29/12/2019,50,50
Banksia integrifolia,Bain,Bain3,13/01/2020,100,0
Banksia integrifolia,Bain,Bain3,28/01/2020,100,0
Banksia integrifolia,Bain,Bain3,10/02/2020,100,0
Banksia integrifolia,Bain,Bain3,25/02/2020,100,0
Banksia integrifolia,Bain,Bain3,25/03/2020,100,0
Banksia integrifolia,Bain,Bain3,27/04/2020,100,0
