Date,Min_T_C,Max_T_C,Rainfall_mm,T_3pm_C,RH_3pm_percent,
1/11/2019,13.9,32.9,0,32,23,
2/11/2019,15,36.5,0,34.5,22,
3/11/2019,15.8,33.4,0,32.1,32,
4/11/2019,16.1,30,16,28.1,27,
5/11/2019,14.2,22.9,0,22.6,36,
6/11/2019,8.5,31.5,0,31.1,16,
7/11/2019,16.1,31.3,0,30.9,16,
8/11/2019,15.1,31.5,0,29.6,18,
9/11/2019,10.5,23.6,,22,17,
10/11/2019,10.9,29.4,0,27.3,24,
11/11/2019,10.9,31.8,0,30.6,23,
12/11/2019,11.1,38,0,37.3,8,
13/11/2019,11.9,28.8,0,27.2,8,
14/11/2019,10.8,29.9,0,29.3,19,
15/11/2019,11.6,34.7,0,33.7,9,
16/11/2019,14.7,27.4,0,23.5,50,
17/11/2019,16.3,26.1,0,21.7,55,
18/11/2019,14,32.8,0,30.7,25,
19/11/2019,12.4,39.1,0.2,38.2,8,
20/11/2019,17.9,28.2,0,27.7,40,
21/11/2019,13.7,36.4,0,35.8,23,gas exchange
22/11/2019,17.2,29.9,0,24.3,60,
23/11/2019,17.5,24.5,3.2,22.9,74,
24/11/2019,16.9,25.8,2,23.5,58,
25/11/2019,17.3,35.8,0,33.7,31,
26/11/2019,17.1,36.6,2.4,34,30,
27/11/2019,11.5,29.4,1,27,17,
28/11/2019,11.8,33.4,0,33,22,
29/11/2019,18.8,36.1,0,33,29,
30/11/2019,17.3,28.5,0,26.4,53,gas exchange
1/12/2019,16.1,28.7,0,27.4,42,
2/12/2019,15.7,23.7,0,22.8,27,gas exchange
3/12/2019,14.2,31.8,0,30.4,17,
4/12/2019,14.8,34.1,0,33.4,9,
5/12/2019,11.9,36.5,0,35.4,10,
6/12/2019,15.6,35.8,0,35.7,8,
7/12/2019,16.1,31.8,0,31.2,23,
8/12/2019,18.6,29.7,0,27.6,46,
9/12/2019,19.4,31.7,0,31.1,39,gas exchange
10/12/2019,16.5,41.2,0,33.7,40,
11/12/2019,15.6,28.4,0,27.4,42,gas exchange
12/12/2019,16.7,28.2,0,25,49,gas exchange
13/12/2019,16,26.8,0,24.5,51,
14/12/2019,17.1,33,0,32.1,26,
15/12/2019,18.1,35.3,0,33.3,30,
16/12/2019,17.8,27.7,0,23.9,51,
17/12/2019,14.2,30.4,0,29.3,34,
18/12/2019,13.9,36.3,0,34.5,17,
19/12/2019,17.4,42.5,0,41.8,11,
20/12/2019,15.2,32.6,0,31.8,36,
21/12/2019,16.6,40.7,0,40.5,24,
22/12/2019,18.5,23.5,0,22.9,46,gas exchange
23/12/2019,16.3,27.3,0,26.3,47,
24/12/2019,19.4,31.3,0,28.3,59,
25/12/2019,19.6,31.5,0,29.3,45,
26/12/2019,17.6,35.6,0,35.1,26,
27/12/2019,17.1,36.2,0,36,23,
28/12/2019,16.6,41.1,0,39.8,10,
29/12/2019,19.8,36,0,33.6,33,
30/12/2019,19.1,41.4,0,38.9,21,
31/12/2019,18.6,46.3,0,44.6,8,
1/01/2020,19.7,33.5,0,31.3,39,
2/01/2020,19.3,31.4,0,29.6,46,
3/01/2020,20.8,37.7,0,35.4,35,
4/01/2020,21.3,48.9,0,48.2,9,gas exchange
5/01/2020,22,30.2,0,27,44,
6/01/2020,18,24,0,23.2,65,
7/01/2020,20.2,35.3,0,31.9,50,
8/01/2020,21.9,28.8,0.4,28.4,57,
9/01/2020,21.8,26.8,0,26.2,60,
10/01/2020,21,40.5,0.2,38.1,33,
11/01/2020,18.5,23.3,0.4,22.7,56,
12/01/2020,17.1,23.8,0.4,20.3,73,
13/01/2020,16.7,29.3,0.2,26.4,49,
14/01/2020,17.9,32.4,0,31.3,43,
15/01/2020,17.2,33,0,30.6,41,
16/01/2020,20.8,30.9,18.8,27.7,71,
17/01/2020,19.5,22.1,24.6,21.3,98,
18/01/2020,18.8,24.4,7,23.6,76,
19/01/2020,18.9,23.9,5.4,23.3,93,
20/01/2020,19.2,33.3,4.6,31.6,56,
21/01/2020,17,34.3,0.2,32,31,
22/01/2020,17.7,38.8,0,37,24,
23/01/2020,18.2,42.4,0,41.5,17,
24/01/2020,20.4,29.9,13.4,27.4,66,
25/01/2020,21.1,31.3,3,29.2,66,
26/01/2020,23.1,39.1,0,38.3,35,
27/01/2020,24.1,34.1,3,33.7,52,
28/01/2020,23.6,36.8,0,34.4,53,
29/01/2020,22.7,31.2,0.4,29.4,57,
30/01/2020,19.2,34.8,0,32.3,41,
31/01/2020,21.4,41.2,0,37.1,46,
1/02/2020,23.6,46.4,0,44.7,NA,
2/02/2020,26.2,41,0,34.3,48,
3/02/2020,22.7,35.3,21.4,32.8,37,
4/02/2020,17.1,23.2,0.2,22.6,50,
5/02/2020,16.1,28.1,0,26.6,46,
6/02/2020,19.4,21.4,0.2,20.3,98,
7/02/2020,18.2,20.5,33.4,19.9,98,
8/02/2020,18.5,21.8,41.2,20.4,97,
9/02/2020,19.5,22.3,82.2,19.9,93,
10/02/2020,19.2,29.6,112.2,28.2,70,
11/02/2020,20.7,32.1,9.6,30.3,60,
12/02/2020,22.3,28.4,0,26.2,84,
13/02/2020,21.4,25.5,21.6,23.8,95,
14/02/2020,20.4,29.5,9.6,28.5,54,
15/02/2020,17.3,30.5,0,29,62,
16/02/2020,19.9,27.7,4,25.4,66,
17/02/2020,20.2,25.4,0.2,24.5,80,
18/02/2020,20.9,33.9,4,32.7,59,
19/02/2020,17.8,29.2,15.2,28.7,40,
20/02/2020,14.5,27.6,0,27,45,
21/02/2020,18.7,27.4,0,27,54,
22/02/2020,17.8,23.1,0,22.2,74,
23/02/2020,18.8,25.7,1.6,25.4,63,
24/02/2020,18,29.7,0,28.2,53,
25/02/2020,17.8,32,0,31.6,42,
26/02/2020,19.5,33.3,0,30.9,52,
27/02/2020,18.6,27.6,0.2,26.7,55,
28/02/2020,12.8,28.1,0,27.3,32,
29/02/2020,17.3,29.1,0,29,47,
1/03/2020,17.6,34,0,32.9,42,
2/03/2020,16.4,39.5,0,38.6,13,
3/03/2020,18.8,21,0,19.7,86,
4/03/2020,17.8,22.4,10.2,22,96,
5/03/2020,19.2,22.4,8.2,22,98,
6/03/2020,20.1,30.8,18.6,28.2,70,
7/03/2020,19.1,26.1,0,24.5,63,
8/03/2020,16.3,24,3.6,20.4,80,
9/03/2020,16.9,24.3,0.8,21.7,69,
10/03/2020,14.8,25.8,3.4,24.5,54,
11/03/2020,13.8,26.7,0,23.8,52,
12/03/2020,14.5,27.1,0,24.6,52,
13/03/2020,12.6,27.8,0,27,42,
14/03/2020,14.5,16.8,1.2,13,98,
15/03/2020,12.8,21.4,11,18.6,76,
16/03/2020,14.4,22.1,2.6,18.3,83,
17/03/2020,15.4,24.2,1.6,23.1,58,
18/03/2020,13.3,27.9,0,27,49,
19/03/2020,13.8,33.2,0,32.1,37,
20/03/2020,16.5,35.1,0,34.7,27,
21/03/2020,14.6,28.2,0,27.5,38,
22/03/2020,15.5,30.6,0,30.1,35,
23/03/2020,17.2,23.8,0.4,21.6,61,
24/03/2020,15.6,24.6,0,23.3,65,
25/03/2020,15.7,26.6,0.2,23.6,78,
26/03/2020,15.5,23.1,12.8,20.4,72,
27/03/2020,14.7,21.8,2.8,21.4,69,
28/03/2020,13.8,24.8,0.2,22.6,59,
29/03/2020,16.8,26,2.8,25.3,67,
30/03/2020,18,25.3,1.6,23.9,75,
31/03/2020,14.6,28.8,0,28.5,52,
1/04/2020,18.1,26.3,0.2,24.9,74,
2/04/2020,16.9,22.8,0,20.8,98,
3/04/2020,15.2,25.8,6.6,23.7,76,
4/04/2020,16.9,25.5,10.2,23.9,40,
5/04/2020,11.4,24.6,0,23.9,34,
6/04/2020,10.4,25.3,0,24.2,43,
7/04/2020,15.4,21.8,0,20.6,56,
8/04/2020,14.5,19,0,17.2,91,
9/04/2020,16.3,22.3,0.2,21.8,66,
10/04/2020,16,24.3,1.8,23,73,
11/04/2020,11.5,27.1,1,24.4,35,
12/04/2020,8.5,22.8,0.2,22.4,35,
13/04/2020,7.5,23.7,0,23.1,45,
14/04/2020,10,27.3,0,26.5,41,
15/04/2020,11.4,30.2,0,29.7,43,
16/04/2020,13.4,24.1,0,22.3,75,
17/04/2020,13.2,27.9,0,27.4,28,
18/04/2020,6.8,25,0,24.6,31,
19/04/2020,8.5,24.4,0,23.5,45,
20/04/2020,11.4,21.5,0,20.4,57,
21/04/2020,10.6,26.3,0,25.7,41,
22/04/2020,10.5,26.5,0,26.3,34,
23/04/2020,7.6,26.1,0,25.4,31,
24/04/2020,13.1,28.8,0,27.3,31,
25/04/2020,10.6,28.7,0,28.2,30,
26/04/2020,9.1,28.1,0,25.6,39,
27/04/2020,11.2,23.8,0,21.2,65,
28/04/2020,16.6,22.8,0,22.4,70,
29/04/2020,13.8,28.4,0,25,65,
30/04/2020,15,18.5,18.4,13.4,79,
1/05/2020,10.3,17.2,8.6,16.2,40,
2/05/2020,11.7,18.8,0,16.7,38,
3/05/2020,6.9,20.3,0,19.4,37,
4/05/2020,4.9,20,0,19.3,42,
5/05/2020,10.6,22.4,0,22.2,46,
6/05/2020,7,23.1,0,22.5,50,
7/05/2020,6.9,23.8,0,23.2,51,
8/05/2020,9,27.9,0,27.2,33,
9/05/2020,9,27.5,0,25.9,38,
10/05/2020,8.1,18.5,0,17.9,25,
11/05/2020,2.5,19,0,18.3,35,
12/05/2020,3.6,20.9,0,20.6,42,
13/05/2020,5.7,16.1,0,15.5,70,
14/05/2020,5.4,18.8,0,17,59,
15/05/2020,8.2,19.7,0,17.6,63,
16/05/2020,9.3,21,0.8,19.1,58,
17/05/2020,6.5,21.9,0.2,21.4,50,
18/05/2020,8.9,19.7,0,18.6,71,
19/05/2020,10.7,21.4,1.2,21.1,66,
20/05/2020,9.4,25.3,0,23.3,50,
21/05/2020,11.7,18.3,0.2,16.7,84,
22/05/2020,8.4,17.1,42.2,16.2,61,
23/05/2020,11.9,20.1,0.6,14.6,80,
24/05/2020,13.3,19,1.2,17.9,52,
25/05/2020,11.4,18.6,0,17.8,60,
26/05/2020,13.2,18.5,2.4,17.9,66,
27/05/2020,9.7,20.5,1.4,19.9,55,
28/05/2020,8.2,22.6,0.2,22.3,53,
29/05/2020,7.5,19.9,0,17.9,73,
